muscle_region_en,muscle_region_sk,muscle_region_ge,muscle_category_en,muscle_category_sk,muscle_category_ge,latin_muscle_name,english_muscle_name,muscle_part,innervation,blood_supply,origo,insercio
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus rectus superior,Superior rectus muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus rectus inferior,Inferior rectus muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus rectus medialis,Medial rectus muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus rectus lateralis,Lateral rectus muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus rectus lateralis,Lateral rectus muscle,Lacertus musculi recti lateralis (check ligament),,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus obliquus superior,Superior oblique muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus obliquus superior,Superior oblique muscle,Trochlea musculi obliqui superioris,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus obliquus inferior,Inferior oblique muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,,Musculus levator palpebrae superioris,Levator palpebrae superioris muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Extra-ocular muscles,Extraokulárne svaly,Äußere Augenmuskeln,Musculus levator palpebrae superioris,Levator palpebrae superioris muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Superficial muscles of head,Povrchové svaly hlavy,,Musculus epicranius,Epicranius muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Superficial muscles of head,Povrchové svaly hlavy,,Musculus occipitofrontalis,Occipitofrontalis muscle,,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Superficial muscles of head,Povrchové svaly hlavy,,Musculus occipitofrontalis,Occipitofrontalis muscle,Venter frontalis,,,,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Superficial muscles of head,Povrchové svaly hlavy,,Musculus occipitofrontalis,Occipitofrontalis muscle,Venter occipitalis,,,,
